Time[s], BSYNC, VIDEO, INTENS
0.42874962, 1, 0, 1
0.42875666, 1, 1, 1
0.42875687, 1, 0, 1
0.42875724, 1, 1, 1
0.42875787, 1, 0, 1
0.42875803, 1, 1, 1
0.42875915, 1, 0, 1
0.42876013, 1, 1, 1
0.42876226, 1, 0, 1
0.42876267, 1, 1, 1
0.42876437, 1, 0, 1
0.42876476, 1, 1, 1
0.42876607, 1, 0, 1
0.42876650, 1, 1, 1
0.42876768, 1, 0, 1
0.42876845, 1, 1, 1
0.42876881, 1, 0, 1
0.42876889, 1, 1, 1
0.42876953, 1, 0, 1
0.42877070, 1, 1, 1
0.42877100, 1, 0, 1
0.42877113, 1, 1, 1
0.42877245, 1, 0, 1
0.42877308, 1, 1, 1
0.42877539, 1, 0, 1
0.42877576, 1, 1, 1
0.42877644, 1, 0, 1
0.42877692, 1, 1, 1
0.42877790, 1, 0, 1
0.42877808, 1, 1, 1
0.42877939, 1, 0, 1
0.42877952, 1, 1, 1
0.42878055, 1, 0, 1
0.42880725, 0, 0, 1
0.42881214, 1, 0, 1
0.42881918, 1, 1, 1
0.42881945, 1, 0, 1
0.42881975, 1, 1, 1
0.42882013, 1, 0, 1
0.42882048, 1, 1, 1
0.42882086, 1, 0, 1
0.42882091, 1, 1, 1
0.42882165, 1, 0, 1
0.42882170, 1, 1, 1
0.42882212, 1, 0, 1
0.42882265, 1, 1, 1
0.42882297, 1, 0, 1
0.42882301, 1, 1, 1
0.42882427, 1, 0, 1
0.42882445, 1, 1, 1
0.42882505, 1, 0, 1
0.42882518, 1, 1, 1
0.42882687, 1, 0, 1
0.42882728, 1, 1, 1
0.42882857, 1, 0, 1
0.42882901, 1, 1, 1
0.42882975, 1, 0, 1
0.42882981, 1, 1, 1
0.42883019, 1, 0, 1
0.42883097, 1, 1, 1
0.42883131, 1, 0, 1
0.42883169, 1, 1, 1
0.42883203, 1, 0, 1
0.42883212, 1, 1, 1
0.42883257, 1, 0, 1
0.42883321, 1, 1, 1
0.42883351, 1, 0, 1
0.42883364, 1, 1, 1
0.42883403, 1, 0, 1
0.42883422, 1, 1, 1
0.42883501, 1, 0, 1
0.42883560, 1, 1, 1
0.42883789, 1, 0, 1
0.42883943, 1, 1, 1
0.42884040, 1, 0, 1
0.42884059, 1, 1, 1
0.42884193, 1, 0, 1
0.42884211, 1, 1, 1
0.42884306, 1, 0, 1
0.42886980, 0, 0, 1
0.42887465, 1, 0, 1
0.42888169, 1, 1, 1
0.42888197, 1, 0, 1
0.42888227, 1, 1, 1
0.42888262, 1, 0, 1
0.42888292, 1, 1, 1
0.42888328, 1, 0, 1
0.42888342, 1, 1, 1
0.42888416, 1, 0, 1
0.42888420, 1, 1, 1
0.42888458, 1, 0, 1
0.42888523, 1, 1, 1
0.42888614, 1, 0, 1
0.42888639, 1, 1, 1
0.42888672, 1, 0, 1
0.42888726, 1, 1, 1
0.42888760, 1, 0, 1
0.42888769, 1, 1, 1
0.42888940, 1, 0, 1
0.42888979, 1, 1, 1
0.42889116, 1, 0, 1
0.42889153, 1, 1, 1
0.42889227, 1, 0, 1
0.42889232, 1, 1, 1
0.42889272, 1, 0, 1
0.42889348, 1, 1, 1
0.42889375, 1, 0, 1
0.42889420, 1, 1, 1
0.42889455, 1, 0, 1
0.42889464, 1, 1, 1
0.42889500, 1, 0, 1
0.42889572, 1, 1, 1
0.42889602, 1, 0, 1
0.42889616, 1, 1, 1
0.42889649, 1, 0, 1
0.42889674, 1, 1, 1
0.42889703, 1, 0, 1
0.42889709, 1, 1, 1
0.42889753, 1, 0, 1
0.42889811, 1, 1, 1
0.42890034, 1, 0, 1
0.42890195, 1, 1, 1
0.42890225, 1, 0, 1
0.42890231, 1, 1, 1
0.42890293, 1, 0, 1
0.42890310, 1, 1, 1
0.42890444, 1, 0, 1
0.42890462, 1, 1, 1
0.42890557, 1, 0, 1
0.42893225, 0, 0, 1
0.42893716, 1, 0, 1
0.42894427, 1, 1, 1
0.42894518, 1, 0, 1
0.42894536, 1, 1, 1
0.42894569, 1, 0, 1
0.42894594, 1, 1, 1
0.42894698, 1, 0, 1
0.42894775, 1, 1, 1
0.42894935, 1, 0, 1
0.42894941, 1, 1, 1
0.42895017, 1, 0, 1
0.42895020, 1, 1, 1
0.42895188, 1, 0, 1
0.42895230, 1, 1, 1
0.42895367, 1, 0, 1
0.42895404, 1, 1, 1
0.42895478, 1, 0, 1
0.42895484, 1, 1, 1
0.42895522, 1, 0, 1
0.42895599, 1, 1, 1
0.42895624, 1, 0, 1
0.42895635, 1, 1, 1
0.42895749, 1, 0, 1
0.42895824, 1, 1, 1
0.42895858, 1, 0, 1
0.42895867, 1, 1, 1
0.42895902, 1, 0, 1
0.42895925, 1, 1, 1
0.42895999, 1, 0, 1
0.42896062, 1, 1, 1
0.42896285, 1, 0, 1
