Time[s], BSYNC, VIDEO, INTENS
1.01080861, 1, 1, 0
1.01080888, 1, 0, 0
1.01083137, 0, 0, 0
1.01083338, 1, 0, 0
1.01083745, 1, 1, 1
1.01083755, 1, 0, 0
1.01083761, 1, 1, 1
1.01083772, 1, 0, 0
1.01083789, 1, 1, 1
1.01083800, 1, 0, 0
1.01083806, 1, 1, 1
1.01083816, 1, 0, 0
1.01083839, 1, 1, 0
1.01083844, 1, 0, 0
1.01083856, 1, 1, 0
1.01083872, 1, 0, 0
1.01083878, 1, 1, 0
1.01083894, 1, 0, 0
1.01083906, 1, 1, 0
1.01083916, 1, 0, 0
1.01083928, 1, 1, 0
1.01083944, 1, 0, 0
1.01083956, 1, 1, 0
1.01083966, 1, 0, 0
1.01083978, 1, 1, 0
1.01084050, 1, 0, 0
1.01084062, 1, 1, 0
1.01084094, 1, 0, 0
1.01084106, 1, 1, 0
1.01084111, 1, 0, 0
1.01084123, 1, 1, 0
1.01084161, 1, 0, 0
1.01084173, 1, 1, 0
1.01084189, 1, 0, 0
1.01084239, 1, 1, 0
1.01084240, 1, 1, 1
1.01084250, 1, 0, 0
1.01084273, 1, 1, 1
1.01084278, 1, 0, 0
1.01084289, 1, 1, 1
1.01084300, 1, 0, 0
1.01084306, 1, 1, 1
1.01084316, 1, 0, 1
1.01084317, 1, 0, 0
1.01084350, 1, 1, 0
1.01084366, 1, 0, 0
1.01084378, 1, 1, 0
1.01084394, 1, 0, 0
1.01084406, 1, 1, 0
1.01084416, 1, 0, 0
1.01084428, 1, 1, 0
1.01084444, 1, 0, 0
1.01084456, 1, 1, 0
1.01084466, 1, 0, 0
1.01084478, 1, 1, 0
1.01084550, 1, 0, 0
1.01084562, 1, 1, 0
1.01084589, 1, 0, 0
1.01084601, 1, 1, 0
1.01084622, 1, 0, 0
1.01084628, 1, 1, 0
1.01084661, 1, 0, 0
1.01084673, 1, 1, 0
1.01084689, 1, 0, 0
1.01084745, 1, 1, 1
1.01084755, 1, 0, 0
1.01084773, 1, 1, 1
1.01084778, 1, 0, 0
1.01084789, 1, 1, 1
1.01084800, 1, 0, 0
1.01084851, 1, 1, 0
1.01084872, 1, 0, 0
1.01084878, 1, 1, 0
1.01084994, 1, 0, 0
1.01085006, 1, 1, 0
1.01085017, 1, 0, 0
1.01085028, 1, 1, 0
1.01085050, 1, 0, 0
1.01085062, 1, 1, 0
1.01085150, 1, 0, 0
1.01085162, 1, 1, 0
1.01085189, 1, 0, 0
1.01085245, 1, 1, 1
1.01085255, 1, 0, 0
1.01085273, 1, 1, 1
1.01085278, 1, 0, 0
1.01085289, 1, 1, 1
1.01085300, 1, 0, 0
1.01085317, 1, 1, 1
1.01085328, 1, 0, 0
1.01085339, 1, 1, 0
1.01085344, 1, 0, 0
1.01085356, 1, 1, 0
1.01085367, 1, 0, 0
1.01085378, 1, 1, 0
1.01085494, 1, 0, 0
1.01085506, 1, 1, 0
1.01085517, 1, 0, 0
1.01085528, 1, 1, 0
1.01085650, 1, 0, 0
1.01085662, 1, 1, 0
1.01085689, 1, 0, 0
1.01087938, 0, 0, 0
1.01088139, 1, 0, 0
1.01088540, 1, 1, 1
1.01088550, 1, 0, 0
1.01088567, 1, 1, 0
1.01088568, 1, 1, 1
1.01088578, 1, 0, 0
1.01088595, 1, 1, 1
1.01088606, 1, 0, 0
1.01088612, 1, 1, 1
1.01088623, 1, 0, 0
1.01088640, 1, 1, 0
1.01088645, 1, 0, 0
1.01088657, 1, 1, 0
1.01088661, 1, 0, 0
1.01088668, 1, 1, 0
1.01088695, 1, 0, 0
1.01088707, 1, 1, 0
